date_ut,mjd_start_topo_inffreq,mjd_end_topo_inffreq,duration_hr,n_bursts,rate_per_hr
20240720,60511.684722,60511.698611,0.33,100,300.0
20240722,60513.800694,60513.815278,0.35,92,262.9
20240724,60515.773611,60515.834722,1.47,369,251.6
20240726,60517.819444,60517.840278,0.50,166,332.0
20240727,60518.742361,60518.756250,0.33,92,276.0
20240728,60519.765278,60519.786111,0.50,208,416.0
20240730,60521.800000,60521.820833,0.50,138,276.0
20240802,60524.783333,60524.797222,0.33,108,324.0
20240805,60527.777778,60527.791667,0.33,52,156.0
20240808,60530.775000,60530.788889,0.33,90,270.0
20240814,60536.777778,60536.791667,0.33,86,258.0
20240817,60539.709722,60539.723611,0.33,70,210.0
20240821,60543.737500,60543.751389,0.33,66,198.0
20240829,60551.699306,60551.713194,0.33,40,120.0
20240905,60558.693750,60558.707639,0.33,54,162.0
20240913,60566.535417,60566.549306,0.33,78,234.0
20240919,60572.679167,60572.693056,0.33,33,99.0
20240927,60580.632639,60580.646528,0.33,37,111.0
20241005,60588.527778,60588.541667,0.33,34,102.0
20241011,60594.479884,60594.493773,0.33,38,114.0
20241021,60604.520833,60604.534722,0.33,51,153.0
20241029,60612.475000,60612.488889,0.33,41,123.0
20241105,60619.415972,60619.429861,0.33,26,78.0
20241116,60630.405556,60630.488889,2.00,283,141.5
20241123,60637.473611,60637.487500,0.33,47,141.0
20241204,60648.402778,60648.416667,0.33,43,129.0
20241209,60653.353472,60653.436806,2.00,332,166.0
20241216,60660.434028,60660.447917,0.33,31,93.0
20241225,60669.347917,60669.431250,2.00,521,260.5
20241226,60670.399306,60670.413194,0.33,115,345.0
20250101,60676.313889,60676.381944,1.63,653,399.8
20250102,60677.269444,60677.283333,0.33,113,339.0
20250108,60683.306250,60683.347917,1.00,186,186.0
20250112,60687.291667,60687.333333,1.00,475,475.0
20250115,60690.245833,60690.329167,2.00,958,479.0
20250119,60694.281250,60694.302083,0.50,210,420.0
20250123,60698.219444,60698.233333,0.33,79,237.0
20250127,60702.218750,60702.232639,0.33,35,105.0
20250131,60706.240972,60706.282639,1.00,82,82.0
20250208,60714.268056,60714.281944,0.33,17,51.0
20250215,60721.217361,60721.259028,1.00,118,118.0
20250222,60728.248611,60728.262500,0.33,23,69.0
20250301,60735.145139,60735.159028,0.33,20,60.0
20250308,60742.118750,60742.132639,0.33,46,138.0
20250317,60751.089583,60751.103472,0.33,40,120.0
20250322,60756.065278,60756.079167,0.33,39,117.0
20250328,60762.997222,60763.011111,0.33,33,99.0
20250423,60788.921528,60788.935417,0.33,8,24.0
20250501,60796.894444,60796.908333,0.33,57,171.0
20250508,60803.979861,60803.993750,0.33,156,468.0
20250522,60817.883333,60817.897222,0.33,51,153.0
20250525,60820.976389,60820.990278,0.33,49,147.0
20250529,60824.882639,60824.896528,0.33,46,138.0
20250605,60831.968056,60831.981944,0.33,1,3.0
20250612,60838.804167,60838.818056,0.33,0,0.0
20250621,60847.756944,60847.798611,1.00,0,0.0
20250624,60850.750000,60850.770833,0.50,0,0.0
20250713,60869.746528,60869.760417,0.33,0,0.0
20250720,60876.792361,60876.834028,1.00,0,0.0
20250721,60877.711111,60877.731944,0.50,0,0.0
20250723,60879.781250,60879.802083,0.50,0,0.0
20250725,60881.723611,60881.744444,0.50,0,0.0
20250813,60900.753472,60900.767361,0.33,0,0.0
20250824,60911.720139,60911.734028,0.33,0,0.0
20250901,60919.604861,60919.618750,0.33,0,0.0
20250912,60930.589583,60930.603472,0.33,0,0.0
20250921,60939.646528,60939.660417,0.33,0,0.0
20251001,60949.559722,60949.573611,0.33,0,0.0
