burst_id,toa_mjd_bary_tdb_inffreq,source_table,session_id,toa_mjd_kirsten2022_superseded,toa_shift_ms,notes
20220114-B49,59593.73520064,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B50,59593.73588107,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B51,59593.73632506,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B52,59593.73726150,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B53,59593.73726998,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220117-B1,59596.29769138,nimmo2023_tab_burst_properties,N32,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220221-B1,59631.91114554,nimmo2023_tab_burst_properties,N35,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220221-B2,59631.91878154,nimmo2023_tab_burst_properties,N35,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220223-B1,59633.63710622,nimmo2023_tab_burst_properties,N37,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220223-B2,59633.64288987,nimmo2023_tab_burst_properties,N37,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220317-B1,59655.95339151,nimmo2023_tab_burst_properties,N38,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220317-B2,59655.95391696,nimmo2023_tab_burst_properties,N38,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
